"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"330600 Três Rios";-;-;-;-;1;-;-;-;-;-;-;-;1
"330610 Valença";1;-;2;-;-;-;-;-;-;-;-;-;3
"330630 Volta Redonda";2;-;-;-;-;-;-;-;-;-;-;-;2
"350160 Americana";1;-;-;-;-;-;-;-;-;-;-;-;1
"350190 Amparo";-;1;-;-;-;-;-;-;-;-;-;-;1
"350250 Aparecida";1;-;-;1;-;-;-;-;-;-;-;-;2
"350275 Araçariguama";1;-;-;-;-;-;-;-;-;-;-;-;1
"350450 Avaré";-;1;-;-;-;-;-;-;-;-;-;-;1
"350550 Barretos";1;-;-;-;-;-;-;-;-;-;-;-;1
"350570 Barueri";-;1;-;-;-;-;-;-;-;-;-;-;1
"350630 Bernardino de Campos";-;-;-;-;1;-;-;-;-;-;-;-;1
"350635 Bertioga";-;1;-;-;-;-;-;-;-;-;-;-;1
"350750 Botucatu";-;-;1;-;-;-;-;-;-;-;-;-;1
"350760 Bragança Paulista";-;-;1;-;-;-;-;-;-;-;-;-;1
"350780 Brodowski";1;-;-;-;-;-;-;-;-;-;-;-;1
"350850 Caçapava";-;1;-;-;-;-;-;-;-;-;-;-;1
"350870 Caconde";-;-;1;-;-;-;-;-;-;-;-;-;1
"350950 Campinas";1;-;2;1;-;-;-;-;-;-;-;-;4
"351050 Caraguatatuba";1;-;1;-;-;-;-;-;-;-;-;-;2
"351060 Carapicuíba";-;1;-;-;-;-;-;-;-;-;-;-;1
"351280 Cosmópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"351300 Cotia";1;-;1;-;-;-;-;-;-;-;-;-;2
"351350 Cubatão";-;-;-;-;-;-;-;-;-;-;-;2;2
"351380 Diadema";-;-;-;-;1;-;-;-;-;-;-;-;1
"351570 Ferraz de Vasconcelos";1;-;-;-;-;-;-;-;-;-;-;-;1
"351630 Francisco Morato";1;1;-;-;-;-;-;-;-;-;-;-;2
"351640 Franco da Rocha";-;-;1;-;-;-;-;-;-;-;-;-;1
"351870 Guarujá";2;2;1;1;-;-;-;-;-;-;-;-;6
"351880 Guarulhos";1;3;1;1;-;-;-;-;-;-;-;1;7
"351907 Hortolândia";-;-;1;-;-;-;-;-;-;-;-;-;1
"351970 Ibiúna";-;-;-;1;2;-;-;-;-;-;-;-;3
"352170 Itaberá";1;-;-;-;-;-;-;-;-;-;-;-;1
"352210 Itanhaém";-;-;1;-;-;-;-;-;-;-;-;1;2
"352265 Itapirapuã Paulista";-;1;-;-;-;-;-;-;-;-;-;-;1
"352310 Itaquaquecetuba";-;-;2;-;-;-;-;-;-;-;-;-;2
"352680 Lençóis Paulista";1;-;-;-;-;-;-;-;-;-;-;-;1
"352690 Limeira";-;1;-;-;-;-;-;-;-;-;-;-;1
"352840 Mairinque";-;-;1;-;-;-;-;-;-;-;-;-;1
"352940 Mauá";3;1;-;1;-;-;-;-;-;-;-;-;5
"352990 Miracatu";-;1;-;-;-;-;-;-;-;-;-;-;1
"353060 Mogi das Cruzes";-;1;1;-;-;-;1;-;-;-;-;-;3
"353070 Mogi Guaçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"353110 Mongaguá";-;-;1;-;-;-;-;-;-;-;-;-;1
"353160 Monte Castelo";-;-;1;-;-;-;-;-;-;-;-;-;1
"353282 Nova Campina";1;-;-;-;-;-;-;-;-;-;-;-;1
"353440 Osasco";-;-;1;-;-;-;-;-;-;-;-;-;1
"353550 Paraguaçu Paulista";-;-;-;-;1;-;-;-;-;-;-;-;1
"353560 Paraibuna";-;-;-;-;-;-;-;-;-;-;-;1;1
"353820 Pinhalzinho";-;-;-;-;-;-;-;-;-;-;-;1;1
"353890 Pirajuí";-;1;-;-;-;-;-;-;-;-;-;-;1
"354100 Praia Grande";2;3;2;1;1;-;-;-;-;-;-;-;9
"354330 Ribeirão Pires";-;-;1;-;-;-;-;-;-;-;-;-;1
"354340 Ribeirão Preto";-;1;-;-;-;-;-;-;-;-;-;-;1
"354390 Rio Claro";2;-;-;-;-;-;-;-;-;-;-;-;2
"354580 Santa Bárbara d'Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"354680 Santa Isabel";-;-;3;-;-;-;-;-;-;-;-;-;3
"354690 Santa Lúcia";-;1;-;-;-;-;-;-;-;-;-;-;1
"354750 Santa Rita do Passa Quatro";-;-;-;-;-;-;-;-;-;1;-;-;1
"354780 Santo André";-;1;-;-;-;-;-;-;-;-;-;-;1
"354850 Santos";1;-;-;1;-;-;-;-;-;-;-;1;3
"354870 São Bernardo do Campo";2;1;1;1;-;-;-;-;-;-;-;1;6
"354990 São José dos Campos";-;1;-;3;-;-;-;-;-;-;-;-;4
"355030 São Paulo";24;15;24;6;5;-;-;-;-;-;-;3;77
"355040 São Pedro";-;-;-;1;-;-;-;-;-;-;-;-;1
"355060 São Roque";-;-;-;1;-;-;-;-;-;-;-;-;1
"355100 São Vicente";-;4;-;1;-;-;-;-;-;-;-;-;5
"355210 Socorro";-;3;-;-;1;-;-;-;-;-;-;-;4
"355220 Sorocaba";-;2;1;-;-;-;-;-;-;-;-;-;3
"355240 Sumaré";-;1;-;1;-;-;-;-;-;-;-;-;2
"355250 Suzano";1;1;-;-;-;-;-;-;-;-;-;-;2
"355400 Tatuí";-;-;1;-;-;-;-;-;-;-;-;-;1
"355410 Taubaté";2;-;-;-;-;-;-;-;-;-;-;-;2
"355540 Ubatuba";1;-;-;-;-;-;-;-;-;-;-;-;1
"355645 Vargem Grande Paulista";-;-;-;-;1;-;-;-;-;-;-;-;1
"355650 Várzea Paulista";-;-;1;-;-;-;-;-;-;-;-;-;1
"355700 Votorantim";-;-;1;-;-;-;-;-;-;-;-;-;1
"355710 Votuporanga";-;-;-;-;-;-;-;-;-;-;-;1;1
"410010 Abatiá";-;1;-;-;-;-;-;-;-;-;-;-;1
"410030 Agudos do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"410040 Almirante Tamandaré";3;-;1;2;2;-;-;-;-;-;-;-;8
"410275 Bela Vista da Caroba";-;3;-;1;-;-;-;-;-;-;-;-;4
"410290 Bituruna";-;1;-;-;-;-;-;-;-;-;-;-;1
"410310 Bocaiúva do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"410390 Campina da Lagoa";-;-;-;1;-;-;-;-;-;-;-;-;1
"410395 Campina do Simão";1;-;-;-;-;-;-;-;-;-;-;-;1
"410420 Campo Largo";1;1;-;-;-;-;-;-;-;-;-;-;2
"410450 Capanema";2;1;-;1;-;-;-;-;-;-;-;-;4
"410480 Cascavel";4;-;3;1;-;-;-;-;-;-;-;1;9
"410490 Castro";2;-;1;-;-;-;-;-;-;-;-;-;3
"410510 Centenário do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"410520 Cerro Azul";-;-;1;-;-;-;-;-;-;-;-;-;1
"410540 Chopinzinho";1;-;-;-;-;-;-;-;-;-;-;-;1
"410570 Clevelândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"410580 Colombo";-;2;-;2;3;-;-;-;-;-;-;-;7
"410620 Contenda";-;-;1;-;-;-;-;-;-;-;-;-;1
"410680 Cruz Machado";-;-;1;-;-;-;-;-;-;-;-;-;1
"410660 Cruzeiro do Oeste";-;1;-;-;-;-;-;-;-;-;-;-;1
"410690 Curitiba";17;15;8;15;8;-;-;-;-;-;-;1;64
"410720 Dois Vizinhos";1;-;-;-;-;-;-;-;-;-;-;-;1
"410750 Engenheiro Beltrão";1;-;-;-;-;-;-;-;-;-;-;-;1
"410765 Fazenda Rio Grande";1;2;-;2;-;-;-;-;-;-;-;-;5
"410770 Fênix";-;-;1;-;-;-;-;-;-;-;-;-;1
"410785 Flor da Serra do Sul";-;-;1;-;-;-;-;-;-;-;-;-;1
"410840 Francisco Beltrão";-;1;1;4;1;-;-;-;-;-;-;-;7
"410850 General Carneiro";-;-;1;-;-;-;-;-;-;-;-;-;1
"410860 Goioerê";-;-;1;-;-;-;-;-;-;-;-;-;1
"410870 Grandes Rios";-;-;-;1;1;-;-;-;-;-;-;-;2
"410895 Guamiranga";-;-;1;-;-;-;-;-;-;-;-;-;1
"410940 Guarapuava";1;1;1;-;2;-;-;-;-;-;-;-;5
"410960 Guaratuba";-;1;-;-;-;-;-;-;-;-;-;-;1
"410965 Honório Serpa";-;-;-;1;-;-;-;-;-;-;-;-;1
"411070 Irati";-;2;-;-;-;-;-;-;-;-;-;-;2
"411080 Iretama";-;-;-;-;1;-;-;-;-;-;-;-;1
"411120 Itapejara d'Oeste";-;-;-;-;1;-;-;-;-;-;-;-;1
