LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação e Mês Notificação
Período:2021
"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"410480 Cascavel";1;-;-;-;-;-;-;-;-;1;-;-;2
"410520 Cerro Azul";-;-;1;-;-;-;-;-;-;-;-;-;1
"410540 Chopinzinho";-;-;-;-;-;-;-;-;1;-;-;-;1
"410570 Clevelândia";-;-;-;-;-;-;1;-;-;-;-;-;1
"410580 Colombo";-;-;-;-;1;-;-;1;-;-;-;-;2
"410640 Cornélio Procópio";-;-;1;-;-;-;-;1;-;-;-;-;2
"410650 Coronel Vivida";-;-;2;-;1;-;-;-;-;-;-;-;3
"410690 Curitiba";11;8;8;1;1;4;5;3;5;1;7;8;62
"410830 Foz do Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"410840 Francisco Beltrão";2;-;-;1;-;-;3;-;-;-;-;-;6
"410930 Guaraniaçu";-;-;-;-;-;-;1;-;-;-;-;-;1
"410940 Guarapuava";1;1;-;-;-;-;-;-;1;-;-;-;3
"410960 Guaratuba";-;-;1;-;-;-;-;-;1;-;-;-;2
"410980 Ibiporã";-;-;-;-;-;-;-;1;-;-;-;-;1
"411050 Ipiranga";-;-;-;-;-;-;-;-;-;1;-;-;1
"411080 Iretama";-;-;-;-;1;-;-;-;-;-;-;-;1
"411120 Itapejara d'Oeste";-;-;-;-;-;-;1;-;-;-;-;-;1
"411150 Ivaiporã";-;-;-;-;-;-;-;1;-;-;-;-;1
"411342 Lidianópolis";-;-;-;-;-;-;1;-;-;-;-;-;1
"411370 Londrina";2;-;-;-;1;1;-;-;-;-;1;1;6
"411390 Mallet";-;-;-;-;-;-;-;-;-;-;1;-;1
"411440 Mangueirinha";-;-;-;-;-;1;-;-;-;-;-;-;1
"411490 Marilândia do Sul";-;1;-;-;-;-;-;-;-;-;-;-;1
"411520 Maringá";-;2;-;1;-;-;-;-;1;-;-;-;4
"411585 Mercedes";-;1;-;-;-;-;-;-;-;-;-;-;1
"411725 Nova Prata do Iguaçu";-;-;-;1;-;-;-;-;-;-;-;-;1
"411760 Palmas";-;-;-;-;-;-;-;1;-;-;-;-;1
"411820 Paranaguá";-;2;1;4;-;2;2;1;-;-;3;2;17
"411850 Pato Branco";1;-;2;1;-;-;-;-;-;-;1;-;5
"411915 Pinhais";1;-;-;-;-;-;-;-;-;-;-;-;1
"411930 Pinhão";-;-;-;-;-;-;-;2;-;-;-;-;2
"411950 Piraquara";-;-;1;-;-;-;-;-;-;-;-;-;1
"411980 Planalto";-;-;-;-;1;-;-;-;-;-;-;-;1
"411990 Ponta Grossa";1;1;3;2;1;1;1;-;1;-;1;2;14
